id,name,pkg,lead_ext,category,state,url,license,tags,version,repo,lang,contrib,lead,has_bin,has_lib,need_ddl,need_load,trusted,relocatable,schemas,pg_ver,requires,require_by,see_also,rpm_ver,rpm_repo,rpm_pkg,rpm_pg,rpm_deps,deb_ver,deb_repo,deb_pkg,deb_deps,deb_pg,source,extra,en_desc,zh_desc,comment,mtime
1000,timescaledb,timescaledb,timescaledb,TIME,available,https://github.com/timescale/timescaledb,Timescale,,2.23.1,TIMESCALE,C,f,t,f,t,t,t,f,f,"{timescaledb_information,timescaledb_experimental}","{18,17,16,15}",,,"{timescaledb_toolkit,timeseries,pg_cron,pg_partman,periods,temporal_tables,emaj,pg_task}",2.23.1,TIMESCALE,timescaledb-2-postgresql-$v,"{18,17,16,15,14}",,2.23.1,TIMESCALE,timescaledb-2-postgresql-$v,,"{18,17,16,15,14}",timescaledb-2.23.1.tar.gz,{},Enables scalable inserts and complex queries for time-series data,时序数据库扩展插件,,2025-11-17
1010,timescaledb_toolkit,timescaledb_toolkit,timescaledb_toolkit,TIME,available,https://github.com/timescale/timescaledb-toolkit,Timescale,{pgrx},1.22.0,TIMESCALE,Rust,f,t,f,t,t,f,t,f,,"{18,17,16,15}",,,"{timescaledb,timeseries,periods,temporal_tables,emaj,pg_cron,pg_partman,table_version}",1.22.0,TIMESCALE,timescaledb-toolkit-postgresql-$v,"{18,17,16,15}",,1.22.0,TIMESCALE,timescaledb-toolkit-postgresql-$v,,"{18,17,16,15}",timescaledb-toolkit-1.22.0.tar.gz,"{""pgrx"": ""0.16.1""}","Library of analytical hyperfunctions, time-series pipelining, and other SQL utilities",超表分析查询，时间序列流式处理，以及其他SQL工具,,2025-11-02
1020,timeseries,pg_timeseries,timeseries,TIME,available,https://github.com/ChuckHend/pg_timeseries,PostgreSQL,,0.1.7,PIGSTY,SQL,f,t,f,f,t,f,f,f,,"{18,17,16,15,14,13}","{columnar,pg_cron,pg_ivm,pg_partman}",,"{timescaledb,timescaledb_toolkit,periods,temporal_tables,emaj,table_version,pg_task,pg_later}",0.1.7,PIGSTY,pg_timeseries_$v,"{18,17,16,15,14,13}","{hydra_$v,pg_cron_$v,pg_ivm_$v,pg_partman_$v}",0.1.7,PIGSTY,postgresql-$v-pg-timeseries,,"{18,17,16,15,14,13}",pg_timeseries-0.1.7.tar.gz,{},Convenience API for time series stack,时序数据API封装,"unmet deps: hydra17 not ready, pg_partman17/pg_ivm12 on el not ready, 0.1.7 break, pg18 break",2025-02-20
1030,periods,periods,periods,TIME,available,https://github.com/xocolatl/periods,PostgreSQL,,1.2.3,PIGSTY,C,f,t,f,t,t,f,f,f,,"{18,17,16,15,14,13}",{btree_gist},,"{timescaledb_toolkit,timescaledb,timeseries,temporal_tables,emaj,table_version,pg_cron,pg_partman}",1.2.3,PGDG,periods_$v*,"{18,17,16,15,14,13}",,1.2.3,PGDG,postgresql-$v-periods,,"{18,17,16,15,14,13}",periods-1.2.3.tar.gz,{},Provide Standard SQL functionality for PERIODs and SYSTEM VERSIONING,为 PERIODs 和 SYSTEM VERSIONING 提供标准 SQL 功能,,2025-10-31
1040,temporal_tables,temporal_tables,temporal_tables,TIME,available,https://pgxn.org/dist/temporal_tables/,BSD 2-Clause,{pgdg-flaw},1.2.2,PIGSTY,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{timescaledb_toolkit,timescaledb,timeseries,periods,emaj,table_version,pg_cron,pg_partman}",1.2.2,PIGSTY,temporal_tables_$v*,"{18,17,16,15,14,13}",,1.2.2,PIGSTY,postgresql-$v-temporal-tables,,"{18,17,16,15,14,13}",temporal_tables-1.2.2.tar.gz,{},temporal tables,时态表功能支持,no pg17 on el8/9 pgdg repo,2025-09-06
1050,emaj,emaj,emaj,TIME,available,https://github.com/dalibo/emaj,GPL-3.0,,4.7.1,MIXED,SQL,f,t,f,t,t,f,f,f,{emaj},"{18,17,16,15,14,13}","{dblink,btree_gist}",,"{timescaledb_toolkit,timescaledb,periods,temporal_tables,table_version,pg_cron,pg_partman,timeseries}",4.7.1,PGDG,e-maj_$v,"{18,17,16,15,14,13}",,4.7.1,PIGSTY,postgresql-$v-emaj,,"{18,17,16,15,14,13}",emaj-4.7.1.tar.gz,{},Enables fine-grained write logging and time travel on subsets of the database.,让数据库的子集具有细粒度日志和时间旅行功能,max_prepared_transactions,2025-02-20
1060,table_version,table_version,table_version,TIME,available,https://github.com/linz/postgresql-tableversion,BSD 3-Clause,{pgdg-flaw},1.11.1,MIXED,SQL,f,t,f,t,t,f,f,f,{table_version},"{18,17,16,15,14,13}",{plpgsql},,"{periods,temporal_tables,emaj,pg_cron,timescaledb,timescaledb_toolkit,timeseries,pg_task}",1.11.1,PIGSTY,table_version_$v,"{18,17,16,15,14,13}",,1.11.1,PIGSTY,postgresql-$v-table-version,,"{18,17,16,15,14,13}",postgresql-tableversion-1.11.1.tar.gz,{},PostgreSQL table versioning extension,PostgreSQL 版本控制表扩展,,2025-09-06
1070,pg_cron,pg_cron,pg_cron,TIME,available,https://github.com/citusdata/pg_cron,PostgreSQL,,1.6.7,PGDG,C,f,t,f,t,t,t,f,f,{pg_catalog},"{18,17,16,15,14,13}",,"{documentdb,pg_incremental,timeseries,vectorize}","{timescaledb_toolkit,timescaledb,periods,temporal_tables,pg_task,pg_later,emaj,table_version}",1.6.7,PGDG,pg_cron_$v*,"{18,17,16,15,14,13}",,1.6.7,PGDG,postgresql-$v-cron,,"{18,17,16,15,14,13}",,{},Job scheduler for PostgreSQL,定时任务调度器,require cron.database_name,2025-02-20
1080,pg_task,pg_task,pg_task,TIME,available,https://github.com/RekGRpth/pg_task,MIT,,1.0.0,PGDG,C,f,t,f,t,f,t,f,f,,"{18,17,16,15,14,13}",,,"{timescaledb,pg_cron,pg_later,pg_background,pg_partman,timescaledb_toolkit,timeseries,periods}",2.1.7,PGDG,pg_task_$v*,"{18,17,16,15,14,13}",,2.1.12,PIGSTY,postgresql-$v-pg-task,,"{18,17,16,15,14,13}",pg_task-2.1.12.tar.gz,{},execute any sql command at any specific time at background,在特定时间点在后台执行SQL命令,breaks on many systems,2025-11-06
1090,pg_later,pg_later,pg_later,TIME,available,https://github.com/ChuckHend/pg_later,PostgreSQL,{pgrx},0.4.0,PIGSTY,Rust,f,t,f,t,t,f,f,f,{pglater},"{18,17,16,15,14,13}",{pgmq},,"{pg_cron,pg_task,pg_background,timescaledb,timescaledb_toolkit,timeseries,periods,temporal_tables}",0.4.0,PIGSTY,pg_later_$v,"{18,17,16,15,14,13}",{pgmq_$v},0.4.0,PIGSTY,postgresql-$v-pg-later,{postgresql-$v-pgmq},"{18,17,16,15,14,13}",pg_later-0.4.0.tar.gz,"{""pgrx"": ""0.16.1""}",Run queries now and get results later,执行查询，并在稍后异步获取查询结果,,2025-11-17
